round 2 / 4  => w (weighted SOS) = 50% -- PwSOS = P + w * SOS
bye treatment: IGNORE
sorting by: REGULARSOS
team            G  p |  GS -  GR = avg | SOS/SOSOS | PwSOS
-------------- ------|-----------------|-----------|------
ILURO           2  6 |   6 -   1 =   5 |    3   21 |   6
VALLESB         2  6 |   2 -   0 =   2 |    0   22 |   6
ATHCB           2  4 |   5 -   1 =   4 |    7    8 |   4
EGARAB          2  4 |   4 -   1 =   3 |    4   17 |   4
CATALONIAB      2  3 |   5 -   2 =   3 |    9    6 |   3
TERRASSAB       2  3 |   2 -   4 =  -2 |    4   13 |   3
BARCAB          2  3 |   2 -   5 =  -3 |    3   15 |   3
EGARA1935       2  0 |   0 -   5 =  -5 |   12    3 |   0
CASTELLDEFELSB  2  0 |   0 -   4 =  -4 |   10    4 |   0
JUNIORB         2  0 |   1 -   4 =  -3 |    6    7 |   0
